"w1","w2","rank"
"also","access",6
"also","active",10
"also","add",18
"also","added",39
"also","affected",5
"also","agree",6
"also","allowed",10
"also","allows",16
"also","already",5
"also","always",18
"also","among",7
"also","another",8
"also","apparently",9
"also","applied",5
"also","apply",4
"also","appreciate",4
"also","arent",3
"also","artist",3
"also","ask",9
"also","asked",32
"also","attract",3
"also","available",42
"also","bad",5
"also","beautiful",6
"also","became",22
"also","become",18
"also","beer",3
"also","began",8
"also","beginning",4
"also","believe",21
"also","benefit",6
"also","best",9
"also","big",19
"also","bigger",3
"also","birthday",8
"also","bit",15
"also","bought",14
"also","bring",13
"also","broke",5
"also","brought",21
"also","buy",12
"also","buying",3
"also","call",12
"also","called",53
"also","can",92
"also","cant",16
"also","case",3
"also","catch",6
"also","caught",9
"also","cause",8
"also","chance",12
"also","change",8
"also","changed",8
"also","check",29
"also","choose",5
"also","chose",6
"also","chosen",5
"also","clearly",3
"also","comes",26
"also","comfortable",5
"also","coming",8
"also","common",3
"also","concerned",12
"also","confirmed",11
"also","consider",14
"also","considered",10
"also","contains",11
"also","cool",4
"also","course",4
"also","cross",3
"also","cry",3
"also","currently",3
"also","cut",15
"also","day",10
"also","deal",3
"also","develops",3
"also","difficult",3
"also","discovered",7
"also","display",6
"also","donation",3
"also","done",10
"also","double",4
"also","download",3
"also","draw",5
"also","drop",6
"also","dropped",9
"also","due",6
"also","easy",6
"also","email",7
"also","enjoyed",8
"also","enjoys",6
"also","every",5
"also","evidence",4
"also","excellent",9
"also","excited",13
"also","face",10
"also","fact",9
"also","factor",6
"also","fairly",5
"also","family",6
"also","fan",6
"also","fascinated",5
"also","favor",3
"also","feature",7
"also","featured",14
"also","features",24
"also","featuring",6
"also","fed",4
"also","feel",14
"also","feeling",3
"also","fellow",3
"also","felt",13
"also","find",41
"also","finds",5
"also","fine",5
"also","first",29
"also","five",5
"also","follow",24
"also","following",7
"also","follows",4
"also","former",12
"also","found",92
"also","four",3
"also","free",9
"also","full",6
"also","fun",12
"also","funny",4
"also","gave",29
"also","get",60
"also","getting",12
"also","give",18
"also","given",15
"also","go",25
"also","going",30
"also","gone",6
"also","good",72
"also","got",96
"also","grabbed",4
